Location,Startup
Oberuster,1816
Lichtensteig,1820
Schwanden,1828
Windisch,1830
Freienstein,1832
"Kollbrunns Gmde. Zell",1832
Murg,1836
Ziegelbrücke,1837
Haslen,1848
Hätzingen,1850
Bätterkinden,1854
Baar,1854
Bätterkinden,1855
Ibach,1859
Zürich,1860
"Sennhofs Illnau-Effretikon",1860
Grellingen,1861
Bütschwil,1861
Turgi,1861
"Galgenens Vorauen",1863
Derendingen,1863
Grellingen,1864
Untersiggenthal,1864
Biberist,1864
Bischofszell,1864
Mülau bei Bazenheid Kirchberg,1865
Flums,1866
"Veyriers Iles de Vessy",1867
Schindellegi,1869
Frinvillier,1869
"Fribourgs Maigrauge",1870
"Stansstads Rotzloch",1872
Bürglen,1872
"Perlens Buchrain",1873
"Perlens Root",1875
Bözingen,1876
Luterbach,1876
Linthal,1877
Zürich,1877
Mels,1878
Weinfelden,1878
"Pérys Rondchâtel",1883
Brunnen,1885
Littau,1886
"Brot-Dessouss Les Moyats",1887
"Les Planchess Taulan",1887
Luterbach,1888
Meiringen,1889
Aarburg,1889
Wiler bei Utzenstorf,1889
"Les Brenetss La Rançonnière",1890
Maroggia,1890
"Pontresinas Morteratsch",1890
"Flumss Rüfi",1890
Silvaplana,1891
Lorzentobel,1891
"Berns Matte",1891
"Churs Sand",1892
Ragaz,1892
"Badens Chappelerhof",1892
Utzenstorf,1893
Hagendorn,1893
"Charmeys Le Perré",1893
Aarau,1893
Glattmüli,1893
Le Noirmont,1894
"Davoss Frauenkirch",1894
"Interlakens Kanal",1894
Orbe,1894
Bürglen,1895
Töbeli,1895
Wittenbach,1895
Schönenberg,1895
Hallau,1895
Gorges de Court,1895
Brot - Dessous,1896
Aubonne,1896
"Untersiggenthals Schiffmüli",1896
Emmen,1896
Biel-Bözingen,1896
"Nesslaus unterer Giessenfall",1896
Montbovon,1896
"Friesenchams Cham",1897
Sevelen,1897
"Boudrys Combe-Garot",1897
"Underveliers Blanches-Fontaine",1897
Rheinfelden,1898
Bex,1898
"Lorzentobels Nidfuren",1898
"Untereggens Lochmüli",1898
Weissenburg,1898
Zürich,1898
Längmad am Thunersee,1899
Schwanden,1899
Bitsch,1899
"Grabss Löchli",1899
"Davoss Glaris",1899
Hagneck,1900
Linthal,1900
St. Gallen,1900
Gurtnellen,1900
Flums,1901
"Etrivouezs Grand Paradis",1901
"Thuns Kanal (Uttigenstr.)",1901
Landquart-Fabriken,1901
"Montreuxs Sonzier",1901
"Vouvrys Haut du Village",1902
"Heidens Hinterlochen",1902
Hauterive,1902
Turgi,1902
Matt,1902
Hospental,1902
Döttingen,1902
"Buchss Steig - Aspenhölzli",1903
"Kanderstegs Zilfuri",1903
Niederurnen,1903
Urnäsch,1903
"Adelbodens Moosweid",1903
Preda bei Bergün,1903
Giubiasco,1903
Ebnat - Kappel,1903
La Dernier,1903
Madulain,1903
Scuol,1903
Flims,1904
"Tegnas Ponte Brolla",1904
Soyhières,1905
Rässenaueli,1905
"Lauterbrunnens Stechelberg",1905
"Kernss Wisserlen",1905
Grafenort,1905
Mels,1906
Wolhusen,1906
"Oberriets Blatten",1906
Montlingen,1906
Lienz,1906
"Fontanneys Les Farettes",1906
Urnäsch,1907
Chironico,1907
St. Léonard,1907
Campocologno,1907
Trin Mulin,1907
Chippis,1908
Schwanden,1908
Montcherand,1908
Martigny-Bourg,1908
Unterägeri,1908
Netstal,1908
"Amdens Muslen",1908
Lütschental,1908
Schaffhausen,1909
Felsenau,1909
"Staldens Ackersand",1909
Echelles de la Mort,1909
"Nesslaus Schneit",1909
Baden,1909
"Dalalochs Leuk-Stadt",1909
"Murgs unterhalb Gödis",1909
Sils im Domleschg,1910
Monthey,1910
"Fribourgs Oelberg",1910
Amsteg,1910
"S. Carlos Robbia",1910
Bex,1911
Inner-Kandergrund,1911
Chippis,1911
Grenzach-Wyhlen,1912
Sennwald,1912
Augst,1912
Netstal,1912
Zwingen,1913
Kallnach,1913
"Ormont-Dessouss Le Pont",1913
"Lüens Tewald",1914
Laufenburg,1914
Choindez,1914
Realp,1914
Boudry,1914
Blatten,1915
Bramois,1915
"Fullys Lac Inf. dé Fully",1915
Thun,1917
Bütschwil,1917
Niedergösgen,1917
Blumenstein,1918
Piotta,1920
Rüti,1920
"Chez Theurillats Haute-Sorne",1920
Ennenda,1920
Buttenried,1920
Zweidlen,1920
Vaz/Obervaz,1920
Giswil,1921
"Linthals Stachelberg",1921
Broc,1921
"Airolos Launc",1922
Küblis,1922
Schwarzhäusern,1923
Amsteg,1923
Le Châtelard,1923
"Poschiavos Bernina",1923
Netstal,1923
"Turtmanns Müllacheren",1925
Avully / Chancy,1925
Klosters,1925
Rodi-Fiesso,1925
"Trempels Ebnat-Kappel",1925
Näfels,1925
"Vorderthals Rempen",1926
Oberems,1926
Siebnen,1926
Sonvico,1926
"Oberemss Meretschialp",1926
Vernayaz,1927
"Poschiavos Cavaglia",1927
La Peuffeyre,1927
Oberterzen,1927
"Poschiavos Alpe Palü",1927
"Buchss Altendorf",1928
Klosters-Dorf,1928
"Staldens Riedji",1929
Le Châtelard,1929
Aarau,1929
"Sembranchers Les Moulins",1929
Leuggelbach,1930
Champsec,1930
"Erstfelds Ripshusen",1931
Schwanden,1931
Schwanden,1931
"Melss Steigs",1931
Orsières,1931
Emmenbrücke,1931
Schwörstadt,1931
"Kembss Loechle",1932
Celerina,1932
Handegg,1932
"Lavorgos Nivo di Chironico",1932
Albbruck,1933
"Rosegs Samedan",1933
Wettingen,1933
Dietikon,1933
"Klingnaus Gippingen",1935
Bivio,1936
Oberrickenbach,1937
Altendorf,1937
"Adelbodens Engstligenalp",1937
Luchsingen,1940
"Engelbergs Stalden",1941
Reckingen,1941
Nenzlingen,1942
Brig-Glis,1942
"Riddess Pied du Mont",1942
Niederlenz,1943
Flums,1943
Trun,1943
Russin,1943
Pt. de la Tsi / Liddes,1943
Innertkirchen,1943
Le Bévieux,1943
Mörel,1943
Trin,1944
Auenstein,1945
Wolfenschiessen,1945
Rupperswil,1945
Grellingen,1945
Sedrun,1945
"St. Gallens Sittertal",1945
Krummenau,1945
Diesbach,1945
Erlenbach,1946
Tavanasa,1946
"Churs Sand",1947
Bürglen,1947
"Le Niollets Champex",1947
Cap.dei Morti,1947
Airolo,1947
Somvix,1947
"Plonss Gmde. Mels",1948
Gsteig b.Gstaad,1948
Weinfelden,1948
Tiefencastel,1949
Zermatt,1949
Rothenbrunnen,1949
Laufen,1949
Pfaffensprung,1949
Brienz,1949
"Wangss Gaschiels",1950
"Meiringens Haselholz",1950
Linthal,1950
"Murgtals Merlen",1950
"Vernayazs Miéville",1950
Lavey,1950
Handegg,1950
Faido,1950
Clusanfe,1950
"Siviezs Cleuson",1950
Campocologno,1950
Mörel,1951
Neuhausen,1951
Roveredo,1951
"Gondos San Marco",1952
Bramois,1953
Les Planchettes,1953
Schinznach-Dorf,1953
Brissago,1953
Villnachern,1953
"Gondos Tannuwald",1953
"Grimsels Sommerloch u.Hospiz",1954
Niederernen,1954
Tinizong,1954
"Molss Tal",1954
Seedorf,1955
Piano di Peccia,1955
Les Clées,1955
Birsfelden,1955
Cavergno,1955
Vallorbe,1955
Bisisthal,1956
"St-Léonards Mangol",1956
"Riddess Ecône",1956
Bürglen,1956
"Noiraigues Le Furcil",1956
Rheinau,1956
Fionnay,1957
"Les Diableretss Le Plan",1957
"Alpnachs Eichibrücke",1957
Bäch,1957
Piani di Verdabbio,1957
Beckenried,1957
Safien Platz,1957
Gabi,1957
Chamarin / Ayent,1957
Croix / Ayent,1957
"Valss Staumauer Zervreila",1958
"Ayers Mottec",1958
"Ayers Vissoie",1958
"Ayers Vissoie",1958
Sta.Maria,1958
"Lostallos Rura",1958
Rothenbrunnen,1958
Liddes,1958
Fionnay,1958
Casaccia,1959
"Staldens Ackersand",1959
"Münsters Moos ",1959
"Grabss Bannwald",1959
Isenthal,1959
Biasca,1959
Castasegna,1959
Erlenbach,1959
Tavanasa,1960
Muotathal,1960
Muotathal,1960
"Kernss Stöckalp",1960
"Saas-Fees Wichulti",1960
Riddes,1960
Casaccia,1960
Casaccia,1960
Matzingen,1960
Grindelwald,1960
Ardon,1960
"Underi-Furens Innertkirchen",1961
"Underi-Furens Innertkirchen",1961
Göschenen,1961
Rütiberg / Näfels,1961
Stafel,1961
Soazza,1961
"Grimentz-Lonas Val de Moiry",1961
Wollerau,1961
"Silss Nisellas",1961
Casaccia,1961
Andermatt,1961
Ausserferrera,1962
Göschenen,1962
"Bisisthals Sahli",1962
"Mesoccos Spina",1962
Bondo,1962
Wolfenschiessen,1962
Thun,1962
Domat-Ems,1962
Simmenfluh (Wimmis),1962
Unterschächen,1962
Tavanasa,1962
Andeer,1962
Olivone,1962
Ausserferrera,1963
"Niederrieds Radelfingen",1963
"Erstfelds Ripshusen",1963
Arolla,1963
"Montheys Les Nants",1963
"Mesoccos Spina",1963
Murtaira,1963
L'Hospitalet,1963
Ghirone,1963
Sagogn,1963
Grafenort,1963
"Linthals Tierfehd",1964
"Linthals Tierfehd",1964
Linthal,1964
Ferpècle,1964
"Fionnays Mauvoisin",1964
Schiffenen,1964
Schaffhausen,1964
"Linthals Ochsenstafel",1965
Z'Mutt,1965
Gordola,1965
Stalden,1965
Rappental,1965
"Gronos Oltra",1965
Neubrigg,1965
Giétroz du Fond,1965
San Carlo,1966
Barrage de Kembs,1966
"Saas Almagells Zermeiggern",1966
Personico,1966
Innergsteig,1966
Ibach,1966
Engelberg,1966
Bad Säckingen,1966
Unterbäch,1966
Hopflauenen,1967
Hopflauenen,1967
Innertkirchen,1967
Bürglen,1967
Casaccia,1967
Engelberg,1967
"Someos Giumaglio",1967
"Ulrichens Altstafel",1967
Filisur,1967
Sedrun,1968
Aarberg,1968
Robiei,1968
Sedrun,1968
Andeer,1968
Piotta,1968
Thusis,1968
Zernez,1969
Göschenen,1969
"Heiligkreuzs Längtal",1969
Litzirüti,1969
"Bitschs Biel",1969
Zernez,1969
Tiefencastel,1970
"Bisisthals Sahli",1970
Zernez,1970
Samnaun-Compatsch,1970
Bannwil,1970
Riedholz,1970
Scuol,1970
Balavaud / Ardon,1971
Heiligkreuz,1971
"Veytauxs Chillon",1972
Tenero,1972
Lessoc,1973
Brissago,1973
Waltensburg,1973
"Grimsels Sommerlochs u.Hospiz",1974
Flums,1974
Bremgarten,1975
Fieschertal,1975
Handegg,1976
Rossens,1976
Steg-Hohtenn,1976
Rothenbrunnen,1976
Vadura,1977
Rütiberg / Näfels,1977
"Hérémences Sauterot",1977
Bad Ragaz,1978
Vallorcine,1978
Vallorcine,1978
Martigny,1978
"Salvans Alpage de Barberine",1978
Rueras,1979
"Grimsels Chessituren",1981
Martigny-Combe,1981
Collonges,1981
Vilters,1982
Jaun,1982
"Buchss Waldrand",1987
"Saas Almagells Zermeiggern",1987
St.Sulpice,1988
Landquart-Fabriken,1988
"Aigles En la Douve",1989
"Weinfeldens untere Widen",1989
Tiefencastel,1989
Ilanz,1990
Sufers,1990
Reckingen,1990
Ried-Brig,1990
Ried-Brig,1990
Piano di Peccia,1991
Plancanin,1991
Motti della Bolla,1991
Müstair/Chasseras,1991
Ilanz,1992
Täsch,1992
Monthey,1992
Samedan,1992
"Le Châbles Bagnes",1993
"Murgtals Unter Plätz",1994
Baltschieder,1994
Genève,1994
Strada,1994
Martina,1994
Neftenbach,1994
Ried-Brig,1995
Elm,1995
Brügg,1995
Oberwynau,1996
Adelboden,1996
Orsières,1996
Unterseen,1996
"Château d'Oexs Gérignoz",1996
Dornach,1996
Unterschächen,1996
"St. Martins Lunschania",1996
"Kanderstegs Dorf",1996
"Les Farettess Aigle",1997
Jenins,1997
Laufen,1997
Wilderswil,1998
Pas-du Lein,1998
"Evionnazs La Rasse",1998
Guarda-Giarsun Gmd. Scuol,1998
Engehalde,1998
Münchenstein,1998
Bremgarten,1998
Luzern,1998
Amsteg,1998
"Wassens Pfaffensprung",1998
Saxeten,1999
Kriens/Obernau,1999
Riddes,1999
Rüderswil,1999
Trun,1999
Grandvillard,1999
Boningen,2000
Tscherggen,2000
Dalpe,2000
Savièse,2001
Döttingen,2001
Altdorf,2002
Campo Vallemaggia,2002
Zermatt,2002
Schönenberg an der Thur,2002
Lungern,2003
Savièse,2004
"Cerentinos Collinasca",2004
Isérables,2005
Les Planchettes,2005
"La Frassenayes Val d'Jlliez",2005
"Sachselns Obflue",2005
Rossens,2005
Sonceboz,2005
Raron,2007
Gurtnellen,2007
Wettingen,2007
"Dardins Casut",2008
Niedergesteln,2008
Niedergesteln,2008
Lavigny,2008
St. Gallen,2008
" Prato Leventinas P. di Masc.",2008
"Engis Vorderdorf (Glarus Süd)",2009
Vollèges,2009
"Saint-Gingolphs Vignolles",2009
Nufenen,2009
Oberems,2009
Leibstadt,2009
"Niedergestelns Turtig",2009
"Kanderstegs Eggeschwand",2009
"Linthals Tierfehd",2010
"Törbels Gappil",2010
Arbaz,2010
"Mesoccos Camou",2010
"San Carlos Pedecosta",2010
Tarasp,2010
Susch,2010
Wiler (Lötschen),2010
Schattenhalb,2010
Unterbäch,2010
Flims,2011
Flims,2011
Rheinfelden,2011
Riom - Parsonz,2011
Schönenberg,2011
"Ennendas Alpenbrüggli",2011
Seewis,2011
Malters,2011
Flims,2012
Flims,2012
"Frauenfelds Schlossmühlestr.",2012
Seedorf,2012
"Charmeys La Tzintre",2012
Hérémence,2012
Fiesch,2012
Splügen,2012
Engi (Glarus Süd),2012
Blatten,2012
Icogne,2012
"Bedrettos Ossasco",2012
Flims,2013
"Lüens Tewald",2013
Giswil,2013
Grafschaft,2013
Ried-Brig,2013
Leytron,2013
Challex,2013
"Wolfenschiessens Flüglisloo",2013
Ferden,2013
Baden,2013
Vernayaz,2013
Orbe,2013
"Untersiggenthals Schiffmüli",2013
"Ormont - Dessouss Le Pont",2013
Steinach,2014
"Vionnazs Beffeux",2014
Scuol,2014
Eischoll,2014
Lauenen bei Gstaad,2014
Aarau,2014
"Ulrichens zum Loch",2014
"Les Pontetss Riddes",2014
Ardez,2014
Boudry,2014
Braunwald,2014
"Schwörstaddts KW Ryburg-Schw.",2014
Lavin,2014
"Eistens VS",2014
Rivaz,2014
Hagneck,2015
Uznach,2015
St. Niklaus,2015
"Neuägeris Gmde Menzingen",2015
"Badhaltes Brig-Glis",2015
"Mossjesees Zermatt",2015
"Munds In de Fäldu (Gem.Naters)",2015
Sigirino (Monteceneri),2015
"Vétrozs Péteille",2015
Savièse,2015
Olten,2015
"Hards Wülflingen in Winterthur",2015
"Linthals Ochsenstafel",2016
Ried-Brig,2016
Riddes,2016
"Guttannens Blatti",2016
"St. Stephans Matten",2016
Vernayaz,2016
"Wilers Münster-Geschinen",2016
Tinizong-Rona,2016
"La Serrières Neuchâtel",2016
"Mitlödis Gmde. Glarus Süd",2016
Hätzingen,2016
Mitlödi (Glarus Süd),2016
Bürglen,2016
"Bourg-St-Pierres La Delise",2016
"Boltigens Garstatt",2016
"Steinens Müliacher",2016
"Broglios Corsgèla in Lavizarra",2016
Barrage de Kembs,2016
Bristen,2016
St. Stephan,2016
"Gohlhusbrüggs Lützelflüh",2016
"Innertkirchens Underürbach",2016
Schattenhalb,2017
"Oberwalds St. Niklaus",2017
Fully,2017
"Fullys Les Garettes",2017
Giubiasco,2017
"Reichenbachs Losplatte",2017
"Rütis Gmde Glarus Süd",2017
"Le Châbles Profrays Com.Bagnes",2017
"Obersaxens St. Joseph",2017
"Promontognos Gmde. Bregaglia",2017
Realp,2017
"Guttannens Spitelnollen",2017
Samnaun-Compatch,2017
"St. Gallens Grafenau",2018
Gurtnellen,2018
"Engis Unter Engi",2018
Mitlödi,2018
Mels,2018
"Vispenterminens Chrizji",2018
"Vispenterminens Stundhüs",2018
"Crans-Montanas R. Bourgeoisie",2018
"Ollons Bruet",2018
Vouvry,2018
Palagnedra,2018
"Nauderss A",2018
Prutz,2018
"Churwaldens Bärgliwäg",2019
"Melss Plons",2019
"Melss Plons",2019
Walenstadt,2019
Blatten,2019
Finhaut,2019
Oberwald,2020
