Standort,Inbetriebnahme,MWh,Ort,Kanton,Koordinaten
Mont Crosin,1996,57171,Saint-Imier,Bern,568 181 / 225 072
Peuchapatte,2010,13366,Le Peuchapatte,Jura,563 945 / 228 030
Saint-Brais,2009,6142,Saint-Brais,Jura,574 685 / 239 185
Haldenstein,2012,4372,Haldenstein,Graubünden,671 885 / 146 175
Feldmoos,2005,1081,Entlebuch,Luzern,649 318 / 204 375
Lutersarni,2013,2787,Entlebuch,Luzern,649 318 / 204 375
Obergrenchenberg,1994,119,Grenchen,Solothurn,574 685 / 239 185
Gütsch,2002,5071,Andermatt,Uri,690 106 / 167 760
Charrat,2012,7047,Charrat,Wallis,649 318 / 204 375
Collonges,2005,4333,Collonges,Wallis,649 318 / 204 375
Gries,2011,1397,Obergoms,Wallis,671 885 / 146 175
Martigny,2008,4597,Martigny,Wallis,649 318 / 204 375
Taggenberg 1 und 2,2002,18,Winterthur,Zürich,
