Location,Production,Startup, Lat, Lng
Saint-Imier,57171,1996,47.15222070000001,6.9962252000000005
Le Peuchapatte,13366,2010,47.196624799999995,6.9651295
Saint-Brais,6142,2009,47.3054088,7.112606299999999
Haldenstein,4372,2012,46.8786697,9.5261007
Entlebuch,1081,2005,46.9917412,8.0647494
Entlebuch,2787,2013,46.9917412,8.0647494
Grenchen,119,1994,47.1922876,7.395890700000001
Andermatt,5071,2002,46.633911600000005,8.5935627
Charrat,7047,2012,46.12287,7.13284
Collonges,4333,2005,46.169781,7.033227
Obergoms,1397,2011,46.5341052,8.349530900000001
Martigny,4597,2008,46.104979799999995,7.0755333999999985
Winterthur,18,2002,47.4988196,8.723688899999999
